uf,nome,id_ente,year,eleicao_estadual,pre_eleicao,pos_eleicao,dcl,rcl_rgf,resultado_primario,receitas_primarias,despesas_primarias,encargos_divida,dcl_sobre_rcl,primario_sobre_rcl,encargos_sobre_rcl,pib_nominal_mil,pib_real_mil_2010,pib_real_mil_lag1,crescimento_pib_pct,ln_pib_real,ipca_aa,deflator_2010,deflator_medio_2010
RR,Roraima,14,2010,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6639150,6812648.443950096,6113481.43543818,11.43647880337111,15.734291507653868,5.909068347266233,100,97.4532893429402
RR,Roraima,14,2011,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7303719,7028169.5041398285,6812648.443950096,3.163542959289556,15.765436846401785,6.503109040628852,106.50310904062886,103.92064385609744
RR,Roraima,14,2012,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7711467,7040112.4532371275,7028169.5041398285,0.16992972480620594,15.767134701477833,5.838568997639149,112.7213665465968,109.53613385044972
RR,Roraima,14,2013,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9010725,7745697.9511072915,7040112.4532371275,10.022361184667261,15.862648144119843,5.910818080013791,119.38412146047168,116.33199560424204
RR,Roraima,14,2014,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9744122,7877547.82592268,7745697.9511072915,1.7022336224270074,15.879527223800808,6.407616596391952,127.0337982406296,123.69486311381031
RR,Roraima,14,2015,0,1,0,332350.18928,2824662.61535,312182.70841,NA,2852170.64165,94118.21307,0.1176601366385907,0.11052035266566443,0.033320160984372266,10242905,7594949.145323612,7877547.82592268,-3.587394032304314,15.842993998179667,10.673497995621716,140.59274814960534,134.8646949967637
RR,Roraima,14,2016,0,0,0,1259858.98488,3376579.22211,776583.2277200001,NA,3161306.5192199997,125990.2684,0.37311696305846576,0.22999111723335158,0.03731299048901616,11013237,7509813.918233295,7594949.145323612,-1.1209453211775133,15.831721245568268,6.288055054224495,149.4332975554997,146.65126353211818
RR,Roraima,14,2017,0,0,1,1335442.84902,3199536.3288499997,93790.97572,NA,3419916.23918,99633.9506,0.4173863684492042,0.02931392741951176,0.031140121680009535,12104709,7979093.475669208,7509813.918233295,6.248883960979845,15.892335363432876,2.9473499083459087,153.83761971404,151.70531636095134
RR,Roraima,14,2018,1,0,0,1182410.32582,3591370.87417,378070.11741,3422916.84435,2780028.92371,104120.49218,0.3292364858010567,0.10527181142141873,0.028991851810365656,13369988,8501575.583741026,7979093.475669208,6.548138703538586,15.955762067076046,3.7454821218273926,159.59958025707417,157.26482542329737
RR,Roraima,14,2019,0,1,0,1627286.62094,4200526.03883,1243553.36252,5050067.97187,3355323.3424899997,83590.64770999999,0.38740067455771776,0.29604705482706045,0.019900042741618867,14292227,8760949.996055672,8501575.583741026,3.0508981512872735,15.985814904070939,4.306039984113186,166.4720019974206,163.13558468470433
RR,Roraima,14,2020,0,0,0,270118.03541,4335140.39881,729544.35759,4617899.8386,3378821.58665,142543.56443,0.062308947475875905,0.16828621231973492,0.03288095685877401,16024276,9517025.661940118,8760949.996055672,8.63006484713238,16.068592927482506,4.517341500509864,173.9921108303797,168.37483231849694
RR,Roraima,14,2021,0,0,1,-165842.49362,5540254.19444,606252.2903,5565896.32306,4300549.80693,61008.62032,-0.029934094682232012,0.10942680047215397,0.011011881076002986,18202579,9982078.505565176,9517025.661940118,4.886535564203287,16.116301893693766,10.061054893257904,191.49755261096232,182.35259309823857
RR,Roraima,14,2022,1,0,0,262536.66015,6383923.484560001,213152.66832,6793100.49888,6261331.090310001,43082.11406,0.041124656456952326,0.03338897604827592,0.0067485323350440106,21095342,10586056.160795221,9982078.505565176,6.050620167867016,16.175048236581087,5.784841959607778,202.57538338602325,199.27479771102333
RR,Roraima,14,2023,0,1,0,366451.15582,6869054.52567,269063.90125,7394589.7215,6975561.815479999,30135.85674,0.05334812155742158,0.039170441906450845,0.004387191370716421,NA,NA,10586056.160795221,NA,NA,4.621113930566767,211.93662264757376,208.42854514019308
